idx,id,expected_answer,official_answer,correct,valid_answer,status,closeout_mode,athena_confidence_pct,peer_validation_ready,peer_candidates,peer_statuses,total_tokens,total_prompt_tokens,total_completion_tokens,seconds,turns,loops
1,aime2025_01,277,277,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,105380,88187,17193,228.912,12,1
19,aime2025_19,279,279,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,122336,97296,25040,333.26,12,1
20,aime2025_20,190,190,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,123833,101224,22609,301.008,12,1
21,aime2025_21,50,18,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,115795,89003,26792,354.395,11,1
22,aime2025_22,754,754,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,153697,122112,31585,419.668,12,1
23,aime2025_23,245,125,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,172481,127775,44706,592.714,12,1
24,aime2025_24,669,558,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,123632,101076,22556,299.58,12,1
25,aime2025_25,850,850,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,125317,99583,25734,341.206,12,1
26,aime2025_26,132,132,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,148839,112306,36533,483.858,12,1
27,aime2025_27,223,223,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,178898,137165,41733,554.076,12,1
28,aime2025_28,107,12,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,116594,87060,29534,391.047,12,1
29,aime2025_29,157,5,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,166739,126694,40045,532.232,12,1
30,aime2025_30,393,364,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,168932,129193,39739,527.685,12,1
