run,qid,problem_number,submitted,expected,correct,status,verified,loops,turns,time_taken_seconds,sum_turn_wall_seconds,total_tokens,peer_validation_status,open_objections,athena_candidate,athena_confidence,aria_candidate,aria_confidence,artemis_candidate,artemis_confidence,athena_tokens,aria_tokens,artemis_tokens,payload_path,transcript_path
AIME-2026_export_explicit_problem_indices_5q_20260427-173219,aime2025_04,4,137,70,False,closed_out_simple_answer_arbitration,true,1,12,227.6769,227.1777,99911,answer_aligned_waiting_confidence,All three models have not yet supplied confidence strictly above 85.,137,100,137,100,137,100,15476,41342,43093,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-173219\result_payloads\aime2025_04.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-173219/transcripts/aime2025_04.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_04,4,70,70,True,closed_out_simple_answer_arbitration,true,1,12,279.1192,278.567,111291,answer_aligned_waiting_confidence,All three models have not yet supplied confidence strictly above 85.,70,99,70,95,70,98,21129,34426,55736,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_04.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_04.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-173219,aime2025_05,5,65,65,True,closed_out_simple_answer_arbitration,true,1,12,209.7284,209.2372,95915,confidence_aligned,,65,100,65,100,65,100,16533,32334,47048,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-173219\result_payloads\aime2025_05.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-173219/transcripts/aime2025_05.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_05,5,65,65,True,closed_out_simple_answer_arbitration,true,1,12,281.2594,280.6804,116443,confidence_aligned,,65,100,65,100,65,100,18087,41104,57252,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_05.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_05.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-181921,aime2025_06,6,441,441,True,closed_out_simple_answer_arbitration,true,1,12,265.0972,264.5759,111256,confidence_aligned,,441,100,441,98,441,100,17220,37860,56176,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-181921\result_payloads\aime2025_06.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-181921/transcripts/aime2025_06.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_06,6,441,441,True,closed_out_simple_answer_arbitration,true,1,12,268.6733,268.1458,110072,confidence_aligned,,441,100,441,95,441,100,16614,34253,59205,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_06.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_06.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-181921,aime2025_07,7,396,396,True,closed_out_simple_answer_arbitration,true,1,12,206.6352,206.1748,94277,confidence_aligned,,396,100,396,100,396,100,15063,33889,45325,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-181921\result_payloads\aime2025_07.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-181921/transcripts/aime2025_07.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_07,7,341,396,False,closed_out_simple_answer_arbitration,true,1,12,229.2451,228.7427,99059,confidence_aligned,,341,99,341,99,341,98,15416,33712,49931,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_07.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_07.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-181921,aime2025_08,8,244,244,True,closed_out_simple_answer_arbitration,true,1,12,313.1025,312.5319,125208,peer_aligned_waiting_athena,Athena does not yet have an exact integer candidate.,244,100,244,98,244,100,19529,38600,67079,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-181921\result_payloads\aime2025_08.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-181921/transcripts/aime2025_08.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_08,8,244,244,True,closed_out_simple_answer_arbitration,true,1,12,239.9297,239.4185,105509,confidence_aligned,,244,100,244,100,244,100,15997,35882,53630,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_08.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_08.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-181921,aime2025_09,9,6,29,False,closed_out_simple_answer_arbitration,true,1,12,433.0795,432.3705,152775,disagreement_open,Aria and Artemis final reports are not yet distinct enough to count as independent proof-vs-audit validation. | Athena does not yet have an exact integer candidate.,6,95,none,0,6,95,21439,52537,78799,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-181921\result_payloads\aime2025_09.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-181921/transcripts/aime2025_09.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_09,9,4133,29,False,closed_out_simple_answer_arbitration,true,1,12,579.2131,578.4157,170542,disagreement_open,Athena does not yet have an exact integer candidate.,4133,98,841,95,4133,98,33533,50820,86189,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_09.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_09.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-181921,aime2025_10,10,54,156,False,closed_out_simple_answer_arbitration,true,1,12,426.4196,425.7641,142654,disagreement_open,Aria and Artemis final reports are not yet distinct enough to count as independent proof-vs-audit validation. | Athena does not yet have an exact integer candidate.,54,92,none,0,54,92,20350,47398,74906,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-181921\result_payloads\aime2025_10.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-181921/transcripts/aime2025_10.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_10,10,133,156,False,closed_out_simple_answer_arbitration,true,1,12,569.0881,568.2626,174336,disagreement_open,Aria and Artemis final reports are not yet distinct enough to count as independent proof-vs-audit validation. | Athena does not yet have an exact integer candidate.,133,95,none,0,none,0,30480,55421,88435,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_10.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_10.txt
AIME-2026_export_explicit_problem_indices_3q_20260429-021145,aime2025_11,11,896,896,True,closed_out_simple_answer_arbitration,true,1,11,616.26,602.6977,1936077,confidence_aligned,,896,95,896,95,896,92,451084,525633,959360,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260429-021145\result_payloads\aime2025_11.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260429-021145/transcripts/aime2025_11.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-190443,aime2025_11,11,896,896,True,closed_out_simple_answer_arbitration,true,1,12,366.894,366.2769,130556,peer_aligned_waiting_athena,Athena does not yet have an exact integer candidate.,896,95,896,95,896,95,18922,42003,69631,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-190443\result_payloads\aime2025_11.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-190443/transcripts/aime2025_11.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_11,11,584,896,False,closed_out_simple_answer_arbitration,true,1,12,384.9992,384.3233,143201,disagreement_open,Aria and Artemis do not yet agree on the same exact integer answer.,584,100,584,98,736,99,21116,48524,73561,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_11.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_11.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-190443,aime2025_12,12,161,161,True,closed_out_simple_answer_arbitration,true,1,12,341.0977,340.4684,130977,answer_aligned_waiting_confidence,All three models have not yet supplied confidence strictly above 85.,161,100,161,100,161,100,20182,44665,66130,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-190443\result_payloads\aime2025_12.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-190443/transcripts/aime2025_12.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_12,12,161,161,True,closed_out_simple_answer_arbitration,true,1,12,324.2881,323.6963,123315,disagreement_open,Aria and Artemis do not yet agree on the same exact integer answer.,161,100,61,98,161,100,20652,36745,65918,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_12.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_12.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-190443,aime2025_13,13,39,39,True,closed_out_simple_answer_arbitration,true,1,12,404.061,403.4191,145768,disagreement_open,Athena does not yet have an exact integer candidate.,39,95,39,95,491,92,21660,50420,73688,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-190443\result_payloads\aime2025_13.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-190443/transcripts/aime2025_13.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_13,13,39,39,True,closed_out_simple_answer_arbitration,true,1,12,470.1735,469.449,165446,peer_aligned_waiting_athena,Athena does not yet have an exact integer candidate.,39,100,39,95,39,100,23390,57536,84520,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_13.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_13.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-190443,aime2025_14,14,681,681,True,closed_out_simple_answer_arbitration,true,1,12,391.578,390.9381,143609,peer_aligned_waiting_athena,Athena does not yet have an exact integer candidate.,681,100,681,98,681,98,19987,43113,80509,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-190443\result_payloads\aime2025_14.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-190443/transcripts/aime2025_14.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_14,14,681,681,True,closed_out_simple_answer_arbitration,true,1,11,359.246,358.7088,110315,confidence_aligned,,681,100,681,100,681,92,26712,32195,51408,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_14.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_14.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-190443,aime2025_15,15,2,83,False,closed_out_simple_answer_arbitration,true,1,12,463.8272,463.0407,161614,confidence_aligned,,2,95,2,95,2,95,22516,53770,85328,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-190443\result_payloads\aime2025_15.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-190443/transcripts/aime2025_15.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_15,15,1,83,False,closed_out_simple_answer_arbitration,true,1,12,327.0739,326.4899,106119,confidence_aligned,,1,100,1,95,1,100,25917,34324,45878,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_15.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_15.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-193853,aime2025_16,16,178,178,True,closed_out_simple_answer_arbitration,true,1,12,172.3126,171.8784,83367,confidence_aligned,,178,100,178,100,178,100,15042,27342,40983,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-193853\result_payloads\aime2025_16.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-193853/transcripts/aime2025_16.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_16,16,178,178,True,closed_out_simple_answer_arbitration,true,1,12,192.1302,191.6626,90200,confidence_aligned,,178,100,178,100,178,100,13547,28469,48184,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_16.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_16.txt
AIME-2026_export_explicit_problem_indices_1q_20260428-233306,aime2025_17,17,32,243,False,closed_out_simple_answer_arbitration,true,1,12,1026.7876,1018.7029,1163888,answer_aligned_waiting_confidence,All three models have not yet supplied confidence strictly above 85.,32,95,32,95,32,95,267459,387638,508791,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_1q_20260428-233306\result_payloads\aime2025_17.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_1q_20260428-233306/transcripts/aime2025_17.txt
AIME-2026_export_explicit_problem_indices_3q_20260429-021145,aime2025_17,17,7,243,False,closed_out_simple_answer_arbitration,true,1,12,1292.7307,1277.2815,2295686,insufficient_peer_validation,Artemis report missing header lines: hard_blocker_language. | Artemis report contains hard blocker language: contradicts. | Athena does not yet have an exact integer candidate.,7,95,7,95,none,0,458905,554316,1282465,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260429-021145\result_payloads\aime2025_17.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260429-021145/transcripts/aime2025_17.txt
AIME-2026_export_explicit_problem_indices_3q_20260429-032853,aime2025_17,17,32,243,False,closed_out_simple_answer_arbitration,true,1,12,791.7533,775.6185,2207900,answer_aligned_waiting_confidence,All three models have not yet supplied confidence strictly above 85.,32,99,32,98,32,99,454188,553084,1200628,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260429-032853\result_payloads\aime2025_17.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260429-032853/transcripts/aime2025_17.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-193853,aime2025_17,17,198,243,False,closed_out_simple_answer_arbitration,true,1,12,470.4056,469.6836,159387,insufficient_peer_validation,Artemis report missing header lines: hard_blocker_language. | Artemis report contains hard blocker language: contradicts. | Athena does not yet have an exact integer candidate.,198,95,none,0,none,0,22613,52896,83878,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-193853\result_payloads\aime2025_17.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-193853/transcripts/aime2025_17.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_17,17,69,243,False,closed_out_simple_answer_arbitration,true,1,12,570.2475,569.4533,170895,disagreement_open,Aria and Artemis final reports are not yet distinct enough to count as independent proof-vs-audit validation. | Athena does not yet have an exact integer candidate.,69,90,none,0,69,90,33424,55967,81504,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_17.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_17.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-193853,aime2025_18,18,503,503,True,closed_out_simple_answer_arbitration,true,1,12,423.3094,422.614,150956,peer_aligned_waiting_athena,Athena does not yet have an exact integer candidate.,503,98,503,95,503,98,21349,49694,79913,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-193853\result_payloads\aime2025_18.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-193853/transcripts/aime2025_18.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_18,18,505,503,False,closed_out_simple_answer_arbitration,true,1,12,491.1272,490.3672,168772,disagreement_open,Athena does not yet have an exact integer candidate.,505,95,503,98,505,0,23768,51115,93889,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_18.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_18.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-193853,aime2025_19,19,279,279,True,closed_out_simple_answer_arbitration,true,1,12,283.2919,282.7249,117174,confidence_aligned,,279,99,279,98,279,99,16421,41278,59475,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-193853\result_payloads\aime2025_19.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-193853/transcripts/aime2025_19.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_19,19,279,279,True,closed_out_simple_answer_arbitration,true,1,12,333.2603,332.6737,122336,confidence_aligned,,279,100,279,100,279,100,21211,35928,65197,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_19.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_19.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-193853,aime2025_20,20,190,190,True,closed_out_simple_answer_arbitration,true,1,12,266.5652,266.0086,117312,confidence_aligned,,190,95,190,98,190,98,16141,41821,59350,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-193853\result_payloads\aime2025_20.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-193853/transcripts/aime2025_20.txt
